Agitated	Agitado
We still hope (hope), but our dreams	Nós ainda temos esperança (esperança), mas nossos sonhos
Are not the same, no	Não são os mesmos, não
And I, I lost before I started	E eu, eu perdi antes de começar
I'm collapsing in stellar clouds of gas	Estou entrando em colapso em nuvens estelares de gás
Hear me	Escute-me
What words just can't convey	O que as palavras não podem transmitir
Feel me	Sinta-me
Don't let the sun in your heart decay	Não deixe o sol em coração enfraquecer
Fight (fight) or will you show me mercy (mercy)?	Lute (lute) ou você vai me mostrar misericórdia (misericórdia)?
We've expelled (expelled), the goodness	Nós expelimos (expelimos) a bondade
From our hearts (hearts)	De nossos corações (corações)
Are you here (here), just to prove you're winning?	Você está aqui (aqui) só para provar que você está ganhando?
Can you hole up, and ride out this	Você pode se esconder e superar esta
Electrical storm?	Tempestade elétrica?
We destroyed something beautiful	Nós destruímos algo bonito
We have faith (faith), but our truths	Temos fé (fé), mas nossas verdades
Are not the same, no	Não são os mesmas, não
Don't give up (up), don't let the magic leave us (leave us)	Não desista (desista), não deixe a magia nos deixar (nos deixar)
Stop the loneliest force becoming	Impeça a solidão de se tornar
King of the universe	O rei do universo
Hear me	Ouça-me
What words just can't convey	O que as palavras não podem transmitir
Feel me	Sinta-me
Don't let the sun in your heart decay	Não deixe o sol em seu coração enfraquecer
Don't give up, don't let the magic leave us	Não desista, não deixe a magia nos deixar
We're collapsing in stellar clouds of gas	Estamos entrando em colapso em nuvens estelares de gás
Hear me	Ouça-me
What words just can't convey	O que as palavras não podem transmitir
Algorithm	Algoritmo
Burn like a slave	Queime como um escravo
Churn like a cog	Mova como uma engrenagem
We are caged in simulations	Estamos enjaulados em simulações
Algorithms evolve	Algoritmos evoluem
Push us aside and render us obsolete	Empurram-nos de lado e nos tornam obsoletos
This means war	Isso significa guerra
With your creator	Com seu criador
This means war	Isso significa guerra
With your creator	Com seu criador
Reload, crash out	Recarregue, saia
This means war	Isso significa guerra
With your creator	Com seu criador
Apocalypse Please	Apocalipse Por Favor
Declare this an emergency	Declare isso uma emergência
Come on and spread a sense of urgency	Venha e espalhe o senso de urgência
And pull us through	E nos tire dessa
And pull us through	E nos tire dessa
This is the end	Esse é o fim
This is the end	Esse é o fim
Of the world	Do mundo.
It´s time we saw a miracle	É hora de vermos um milagre
Come on, it´s time for something Biblical	Venha, é hora de algo bíblico
To pull us through	Para nos tirar dessa
And pull us through	E nos tire dessa
And this is the end	Esse é o fim
This is the end	Esse é o fim
Of the world	Do mundo.
Proclaim enternal victory	Proclame eterna vitória
Come on and change the cause of history	Venha e mude a causa da história
And pull us through	E nos tire dessa
And pull us through	E nos tire dessa
This is the end	Esse é o fim
Assassin (Grand Omega Bosses Edit)	Assassino(grand Omega Bosses Edit
War is overdue	A guerra é vencida
The time has come for you	O tempo chegou para você
To shoot your leaders down	Para filmar os seus líderes para baixo
Join forces underground	Unindo forças subterrâneas
Lose control	Perder o controle
And increasing pace	E ritmo crescente
Warped and bewitched	Deformado e enfeitiçado
Time to erase	Tempo para apagar
Whatever they say	Seja lá o que dizem
These people are torn	Essas pessoas são arrancadas
Wild and bereft	Selvagens e desprovidas
Assassin is born, yeah	Assassino nasce, yeah
They'll try to steal your life	Eles vão tentar roubar a sua vida
So watch your back	Assim assistir a sua volta
You're not alone	Você não está sozinho
But you must actualise	Mas você deve efetivá
The first attack	O primeiro ataque
Oppose and disagree	Opor e discordar
Destroy demonocracy	Destruir a demonocracia
Lose control	Perder o controle
And increasing pace	E ritmo crescente
Warped and bewitched	Warped e enfeitiçado
Time to erase	Tempo para apagar
Wherever they say	Onde eles dizem
These people are torn	Essas pessoas são arrancadas
Assassin	Assassino
War is overdue	A guerra está atrasada
The time has come for you	A sua hora já chegou
To shoot your leaders down	Para matar seus lideres
Join forces underground	E juntar-se a forças secretas
Lose control	Perca o controle
Increasing pace	Aumente o passo
Warped and bewitched	Deformado e enfeitiçado
Time to erase	É hora de extinguir
Whatever they say	Por mais que eles digam
These people are torn	Estas pessoas estão feridas
Wild and bereft	Feroz e desolado
Assassin is born	O assassino é nato
Aim, shoot, kill your leaders	Mire, atire, mate seus líderes
Oppose and disagree	Contrapondo e discordando
Destroy demonocracy	Destrua a demonocracia
Lose control	Perca o controle
Increasing pace	Aumente o passo
Warped and bewitched	Deformado e enfeitiçado
Time to erase	É hora de extinguir
Whatever they say	Por mais que eles digam
These people are torn	Estas pessoas estão feridas
Backdoor	Porta dos fundos
See you standing	Vejo você em pé
Wish you want me just a little bit	Desejo que você me queira só um pouquinho
Wish you love me just a little bit	Desejo que você me ame só um pouquinho
Cause now I want it all the time	Porque agora eu quero isso o tempo todo
And I know that it's no crime	E eu sei que não é crime
But I don’t know why	Mas eu não sei porque
Now I want it all the time	Agora eu quero isso o tempo todo
But I know that it's no crime	Mas eu sei que não é crime
But I don’t know why	Mas eu não sei porque
Now we're holding all the time	Agora estamos nos segurando o tempo todo
Two can sing to no longer mind	Dois podem cantar para não mais se importar
I hope that you will see me through	Eu espero que você me veja
Through the Backdoor	Através do backdoor
Looking out for a jack-door	Procurando por um porta-jaque
For all the things that we hoped for	Por todas as coisas que esperávamos
Blockades	Bloqueios
The truth is that when I am killing in order to survive	A verdade é que quando eu estou matando para sobreviver
I have never felt so alive	Eu nunca me senti tão vivo
I am always seeking to live and die on the edge	Eu estou sempre procurando viver e morrer no limite
Life is a broken simulation I'm unable to feel	A vida é uma simulação quebrada que sou incapaz sentir
I'm searching for something that's real	Eu estou procurando por algo que é real
I am always seeking to see what's behind the veil	Eu estou sempre procurando ver o que está por trás do véu
Trapped in a maze of unseen walls	Preso em um labirinto de paredes invisíveis
These blockades must fall	Esses bloqueios devem cair
Crush, crush	Esmagar, esmagar
Raze and rush	Destrua e se apresse
Seize and fight for your life	Aproveite e lute pela sua vida
Smash, test	Quebre, teste
Beat the best	Vença o melhor
Fight for your life	Lute pela sua vida
You've been summoned now	Você foi convocado agora
I never sleep or rest but I'm still running out of time	Eu nunca durmo ou descanso, mas ainda estou ficando sem tempo
I have sacrificed all of my life	Eu sacrifiquei toda a minha vida
The time has come to	Chegou a hora de
To prove to you what I'm worth	Para provar a você o que eu valho
Trapped in a maze of endless walls	Preso em um labirinto de paredes infinitas
These blockades must fall	Esses bloqueios devem cair
Crush, crush	Esmagar, esmagar
Raze and rush	Destrua e se apresse
Seize, fight for your life	Aproveite e lute pela sua vida
Smash, test	Quebre, teste
Beat the best	Vença o melhor
Fight for your life	Lute pela sua vida
You've been summoned now	Você foi convocado agora
Crush, crush	Esmagar, esmagar
Raze and rush	Destrua e se apresse
Seize, fight for your life	Aproveite e lute pela sua vida
Smash, test	Quebre, teste
Beat the best	Vença o melhor
Balloonatic	Balloonatic
You came,	Você veio,
You came, you scorched her	Você veio, você chamuscado dela
You came, unstained you adore her	Você veio, você adora o seu imaculado
United again	Unidos novamente
Like separated twins	Como gêmeos separados
United again	Unidos novamente
You	Você
You will remember	Você vai se lembrar
She knows, she knows you want her	Ela sabe, ela sabe que você quer que ela
United again	Unidos novamente
Like separated twins	Como gêmeos separados
United again	Unidos novamente
United again	Unidos novamente
Like separated twins	Como gêmeos separados
You can be...	Você pode ser ...
Blackout	Apagão
Don't kid yourself	Não se iluda
And don't fool yourself	E não se engane
This love's too good to last	Esse amor é bom demais para durar
And I'm too old to dream	E eu estou muito velho para sonhar
Don't grow up too fast	Não cresça tão rápido
And don't embrace the past	E não abrace o passado
This life's too good to last	Essa vida é boa demais para durar
And I'm too young to care	E eu sou muito novo para me importar
Don't kid yourself	Não se iluda
And don't fool yourself	E não se engane
Bliss	Êxtase
Everything about you is how I'd wanna be	Tudo em você é como eu quero ser
Your freedom comes naturally	Sua liberdade vem naturalmente
Everything about you resonates happiness	Tudo em você ressona felicidade
Now I won't settle for less	Agora eu não me conformarei com menos
Give me	Dê-me
All the peace and joy in your mind	Toda a paz e alegria em sua mente
Everything about you pains my envying	Tudo em você dóI minha cobiça
Your soul can't hate anything	Sua alma não consegue odiar nada
Everything about you is so easy to love	Tudo em você é tão fácil de amar
They're watching you from above	Eles estão te assistindo de cima
Give me	Dê-me
All the peace and joy in your mind	Toda a paz e alegria em sua mente
I want the peace and joy in your mind	Eu quero a paz e alegria em sua mente
Give me the peace and joy in your mind	Dê-me toda a paz e alegria em sua mente
Everything about you resonates happiness	Tudo em você ressoa felicidade
Now i won't settle for less	Agora eu não me conformarei com menos
Give me	Dê-me
All the peace and joy in your mind	Toda a paz e alegria em sua mente
Boredom	Tédio
We should be in the summer spirit	Devemos estar no espírito de verão
But it might as well be rain	Mas pode também ser chuva
We should be having such a good time	Deveríamos ter bons momentos
But I'm so bored it's causing me pain	Mas eu estou tão entediado que me dói
My dear	Minha querida
This love is dead	Este amor está morto
Somehow, someway	De alguma maneira, de qualquer maneira
You'll come away	Você chegou longe
With you it's dead	Com você está morto
I can't let you pretend	Não posso deixar você fingir
These days	Estes dias
(These days)	(Estes dias)
Are the best you've had	São os melhores que já tive
Doesn't matter 'cause I love you	Não importa, porque eu amo você
Stop telling me to try and cheer up	Pare de me dizer para tentar e animar
I just don't wanna be here	Eu só não quero estar aqui
We should be having such a good time	Deveríamos ter bons momentos
But you're no good	Mas você não está bem
No, you are going blind	Não, você está ficando cega
My dear	Minha querida
This love is dead	Este amor está morto
There's no way	Não há maneira
You'll come away	Você chegou longe
With you it's dead	Com você está morto
I can't let you pretend	Não posso deixar você fingir
These days	Estes dias
(These days)	(Estes dias)
Are the best you've had	São os melhores que já tive
My dear, this love is dead	Minha querida, esse amor está morto
Can't Take My Eyes Off You	Não Consigo Tirar Meus Olhos de Você
You're just too good to be true	Você é boa demais para ser verdade
Can't take my eyes off you	Não consigo tirar meus olhos de você
You feel like heaven to touch	Você é como tocar o céu
I wanna hold you so much	Quero tanto te abraçar
At long last love has arrived	Enfim, o amor verdadeiro chegou
And I thank God I'm alive	E agradeço a Deus por estar vivo
You're just too good to be true	Você é boa demais para ser verdade
Can't take my eyes off you	Não consigo tirar meus olhos de você
Pardon the way that I stare	Perdoe a maneira como te olho
There's nothing else to compare	Não há nada que se compare
The sight of you makes me weak	Ver você me enfraquece
There are no words left to speak	Não restam palavras para falar
But if you feel like I feel	Então se você sente como me sinto
Please let me know that it's real	Por favor, deixe-me saber que isso é real
You're just to good to be true	Você é boa demais para ser verdade
Can't take my eyes off you	Não consigo tirar os meu olhos de você
I love you baby, and if it's quite alright	Te amo querida, e se estiver tudo bem
I need you baby, to warm the lonely nights	Preciso de você para aquecer as noites solitárias
I love you baby, trust in me when I say	Te amo querida, acredite em mim quando digo
Oh pretty baby, don't let me down, I pray	Oh querida, não me desiluda, eu peço
Oh pretty baby, now that I found you, stay	Oh querida, agora que te encontrei, fique
And let me love you baby, let me love you	Deixe-me te amar querida, deixe-me te amar.
You're just too good to be true	Você é boa demais para ser verdade
Can't take my eyes off you	Não consigo tirar meus olhos de você
You feel like heaven to touch	Você é como tocar o céu
I wanna hold you so much	Quero tanto te abraçar
At long last love has arrived	Enfim, o amor verdadeiro chegou
And I thank God I'm alive	E agradeço a Deus por estar vivo
You're just too good to be true	Você é boa demais para ser verdade
Can't take my eyes off you	Não consigo tirar meus olhos de você
Pardon the way that I stare	Perdoe o jeito que eu a encaro
There's nothing else to compare	Não há mais nada para comparar
The sight of you makes me weak	A visão de você me deixa fraco
There are no words left to speak	Não há palavras para falar
But if you feel like I feel	Mas se você sentir como eu sinto
Please let me know that it's real	Por favor, deixe-me saber que é real
You're just to good to be true	Você é apenas bom para ser verdade
Can't take my eyes off you	Não consigo tirar meus olhos de você
I love you baby, and if it's quite alright	Eu te amo, querida, e se estiver tudo bem
I need you baby, to warm the lonely nights	Eu preciso de você querida, para aquecer as noites solitárias
I love you baby, trust in me when I say	Eu te amo, querida, confie em mim quando eu digo
Oh pretty baby, don't bring me down I pray	Oh, querida, não me deixe pra baixo Eu rezo
Oh pretty baby, now that I found you, stay	Oh, querida, agora que eu te encontrei, fique
And let me love you, oh baby, let me love you, ok	E deixe-me te amar, oh querida, deixe-me te amar, ok
Oh pretty baby, don't bring me down I pray	Oh, querida, não me deixe pra baixo, eu imploro
Break It To Me	Explique Para Mim
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
Don't dress it up	Não enfeite
Don't beat around the bush and don't	Não evite o assunto e não
Cover it up but don't push it underground and don't	Encubra mas não empurre para debaixo da terra e não
Keep it inside and don't	Mantenha dentro e não
Edit and redact and no	Edite e redija e não
Dumbing it down	Emburreça
Don't fake it	Não finja
Just	Somente
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
I can handle the truth	Eu consigo lidar com a verdade
I can cope with whatever you're holding back	Eu posso lidar com o que você não está me dizendo
No need to sugar coat	Não há necessidade de adoçar
Just	Somente
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
I know how to mend	Eu sei como consertar
I can rise high above the ashes	Eu posso me erguer bem acima das cinzas
I'll re-invent	Vou me reinventar
I will re-emerge	Vou reemergir
Reborn	Renascido
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
Don't dress it up	Não enfeite
Don't beat around the bush and don't	Não evite o assunto e não
Cover it up but don't push it underground and don't	Encubra mas não empurre para debaixo da terra e não
Keep it inside and don't	Mantenha dentro e não
Edit and redact and no	Edite e redija e não
Dumbing it down	Emburreça
Don't fake it	Não finja
Just	Somente
(Break it to me)	(Explique para mim)
(Just break it to me)	(Apenas quebre para mim)
I know how to mend	Eu sei como consertar
I can rise high above the ashes	Eu posso me erguer bem acima das cinzas
I'll re-invent	Vou me reinventar
I will re-emerge	Vou reemergir
Reborn	Renascido
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
(Break it to me)	(Explique para mim)
(Break it to me)	(Quebre para mim)
Burning Bandits	Burning Bandits
Hope stands over me	A esperança estava sobre mim
I am waiting patiently	Eu estou esperando pacientemente
I'll wait for a sign	Eu esperarei por um sinal
Whisper through centuries	Sussurre por séculos
Taking time to open my mind	Levei tempo para abrir minha mente
And I'm waiting now	E eu estou esperando agora
Stop asking yourself why	Pare de se perguntar, por que
You can't see the demons in your eyes	Você não pode ver os demônios em seus olhos
Stop asking, where to find	Pare de perguntar, onde achar
the truth to compensate your lies	a verdade para compensar suas mentiras
So it forms in my mind	Assim forma-se em minha mente
I am searching for a twisting world	Eu estou procurando um mundo revirado
and theres no scars on my side	e não há nenhuma cicatriz em meu lado
Stop asking yourself why	Pare de se perguntar, por que
You can't see the demons in your eyes	Você não pode ver os demônios em seus olhos
Stop asking, where you'll find	Pare de se perguntar, onde você achará
the truth to compensate your lies	a verdade para compensar suas mentiras
Well im waiting so patiently	Bem eu estou esperando tão pacientemente
I'm waiting for a sign	Eu estou esperando por um sinal
Ashamed	Vergonha
I know there's something	Eu sei algo
That you are dying to tell me	Que você está morrendo para me falar
I hope it's not about it incase you love me	Espero que não seja sobre seu amor restrito a mim
Make sure no one finds out	Tenho certeza que ninguém descobrirá
Tell me all about it	Me fale tudo sobre isso
Don't keep it to yourself	Não guarde isso em você
Because I have been through hell	Porque eu fui pro inferno
I never needed your cry	Eu nunca precisei do seu choro
I know you love me	Eu sei que você me ama
It doesn't matter because I'll make you crawl	Isso não importa porque eu farei você rastejar
I know that you're ashamed	Eu sei que você está envergonhada
So ashamed that it kills you	tão envergonhada que isso destrói você
Don't you know that you're ashamed	Você não sabe que está com vergonha?
So much that it kills you	Tão envergonhada que destrói você
There's always something that makes you guilty	Tem sempre algo que faz você culpada
There's still something that you're dying to tell me	Ainda há algo que você está morrendo para me falar
Make sure no one finds out	Tenho certeza que ninguém descobrirá
Tell me all about it	Me fale tudo sobre isso
Don't keep it to yourself	Não guarde isso em você
Because I'll beg for more	Porque eu implorarei por mais
I never needed your cry	Eu nunca precisei do seu choro
I love your cry	Eu amo suas lágrimas
It doesn't matter because I'll make you crawl	Isso não importa porque eu farei você rastejar
I know that you're ashamed	Eu sei que você está envergonhada
So ashamed that it kills you	tão envergonhada que isso destrói você
Butterflies And Hurricanes	Borboletas e Furacões
Change everything you are	Mude tudo o que você é
And everything you were	E tudo o que você foi
Your number has been called	Seu número foi chamado
Fights and battles have begun	Brigas e batalhas começaram
Revenge will surely come	A revanche virá certamente
Your hard times are ahead	Seus tempos difíceis estão adiante
Best, you've got to be the best	Melhor, você tem que ser o melhor
You've got to change the world	Você tem que mudar o mundo
And use this chance to be heard	E usar essa chance para ser ouvido
Your time is now	Sua hora é agora
Change everything you are	Mude tudo o que você é
And everything you were	E tudo o que você foi
Your number has been called	Seu número foi chamado
Fights and battles have begun	Brigas e batalhas começaram
Revenge will surely come	A revanche virá certamente
Your hard times are ahead	Seus tempos difíceis estão adiante
Best, you've got to be the best	Melhor, você tem que ser o melhor
You've got to change the world	Você tem que mudar o mundo
And use this chance to be heard	E usar essa chance para ser ouvido
Your time is now	Sua hora é agora
Don't let yourself down	Não se deixe abater
Don't let yourself go	Não desista de você
Your last chance has arrived	Sua última chance chegou
Best, you've got to be the best	Melhor, você tem que ser o melhor
You've got to change the world	Você tem que mudar o mundo
Citizen Erased	Cidadão Apagado
Break me in	Me invada
Teach us to cheat	Nos ensine a trapacear
And to lie, and cover up	E a mentir, esconder
What shouldn't be shared	O que não deve ser compartilhado?
And the truth's unwinding	Toda a verdade está desenrolando
Scraping away	Abandonando a minha mente
At my mind, please stop asking	Por favor, pare de
Me to describe	Me pedir para descrever
For one moment	Por um momento
I wish you'd hold your stage	Eu desejo que você segure a sua encenação
With no feelings at all	Sem nenhum sentimento
Open-minded	De cabeça aberta
I'm sure I used to be	Eu tenho certeza que eu costumava ser
So free	Tão livre
Self-expressed	Você se expressou
Exhausting for all	Exausto de tudo
To see and to be	Para ver e para ser
What you want and what you need	O que você quer e o que você precisa
And the truth's unwinding	A verdade está desenrolando
Scraping away	Abandonando a minha mente
At my mind, please stop asking	Por favor, pare de
Me to describe	Me pedir para descrever
For one moment	Por um momento
I wish you'd hold your stage	Eu desejo que você segure a sua encenação
With no feelings at all	Sem nenhum sentimento
Open-minded	De cabeça aberta
I'm sure I used to be	Eu tenho certeza que eu costumava a ser
So free	Tão livre
For one moment	Por um momento
I wish you'd hold your stage	Eu desejo que você segure a sua encenação
With no feelings at all	Sem nenhum sentimento
Open-minded	De cabeça aberta
I'm sure I used to be	Eu tenho certeza que eu costumava a ser
So free	Tão livre
Wash me away	Me lave
Clean your body of me	Limpe seu corpo de mim
Erase all the memories	Apague todas as memórias
They'll only bring us pain	Elas apenas nos trarão dor
City Of Delusion	Cidade Da Desilusão
Stay away from me	Fique longe de mim
Build a fortress and shield your beliefs	Construa sua fortaleza e proteja suas crenças
Touch the divine	Toque o divino
As we fall in line	Enquanto entramos na linha
Can I believe	Eu posso acreditar
When I don't trust	Quando não confio?
All your theories will turn to dust	Todas suas teorias se tornarão poeira
I choose to hide	Eu escolhi me esconder
From the All Seeing Eye	Do Olho que Tudo Vê
Destroy this city of delusion	Destrua essa cidade da desilusão
And break these walls down	Derrube esses muros
And I will avenge	E eu vou vingar
And justify my reasons with your blood	E justificar minhas razões com seu sangue
You will not rest	Você não descansará
Or settle for less	Ou se contentará com pouco
Until you guzzle and squander what's left	Até você empanturrar-se e desperdiçar o que restou
Do not deny	Não negue
That you live and let die	Que você vive e deixa que morram
Destroy this city of delusion	Destrua essa cidade da desilusão
And break these walls down	Derrube esses muros
Cave	Caverna
Leave me alone	Me deixe sozinho
Its nothing serious	Não é nada sério
I'll do it myself	Eu mesmo farei isso
Its got nothing to do with you	Não tem nada a ver com você
And there's nothing that you could do	E não tem nada que você poderia fazer
You can see it and you can almost hear it too	Você pode ver e também pode quase ouvir
You can almost taste it	Você quase pode provar
Its nothing to do with you	Não tem nada a ver com você
And there's nothing that you can do	E não tem nada que você possa fazer
So come in my cave	Então venha na minha caverna
And I'll burn your heart away	E eu queimarei seu coração
Come in my cave	Venha na minha caverna
And I'll burn your heart away	E eu queimarei seu coração
Please close your ears and try to look away	Por favor, feche seus ouvidos e tente não me olhar
So you'll never hear a single word I say	Então você nunca irá ouvir uma única palavra que eu digo
And don't ever come my way	E nunca virá ao meu caminho
So come in my cave	Então venha na minha caverna
And I'll burn your heart away	E eu queimarei seu coração
Creep	Aberração
When you were here before	Quando você esteve aqui antes
Couldn't look you in the eye	Não conseguia olhar nos seus olhos
You're just like an angel	Você é como um anjo
Your skin makes me cry	Sua pele me faz chorar
You float like a feather	Você flutua como pluma
In a beautiful world	Em um belo mundo
I wish I was special	Eu queria ser especial
You're so very special	Você é tão especial
But I'm a creep, I'm a weirdo	Mas eu sou uma aberração, sou um esquisitão
What the hell am I doing here?	Que diabos estou fazendo aqui?
I don't belong here	Eu não pertenço aqui
I don't care if it hurts	Eu não ligo se isso machuca
I wanna have control	Eu quero ter o controle
I want a perfect body	Eu quero um corpo perfeito
I want a perfect soul	Eu quero uma alma perfeita
I want you to notice	Eu quero que você perceba
When I'm not around	Quando eu não estou por perto
You're so very special	Você é tão especial
I wish I was special	Eu queria ser especial
But I'm a creep, I'm a weirdo	Mas eu sou uma aberração, sou um esquisitão
What the hell am I doing here?	Que diabos estou fazendo aqui?
I don't belong here	Eu não pertenço aqui
She's running out again	Ela está fugindo de novo
She's running	Ela está fugindo
She run, run, run, run, run	Ela foge, foge, foge, foge, foge
Whatever makes you happy	O que faz você feliz
Whatever you want	O que você quiser
You're so very special	Você é tão especial
